"規制番号","座標","警察署名","交差点名称","制御種別","制御機形式","警交仕規","メーカー補足","製造会社名","製造番号","製造年月","道路別","設置場所"
"70191","34.48072,133.379269","福山東","四ツ樋","地域/直接","交通信号制御機(S9-TCU)","第1012号「版5」","S4：TSC-4152","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","220715","2022年12月","県道２６０号（福山港松浜）","福山市東川口町2丁目1番南西角先"
"70192","34.479175,133.425714","福山東","古家橋（北）","地域/連動","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000016","2014年2月","市道","福山市大門町津之下1,580番地11北西角先"
"70193","34.448714,133.259188","福山西","松永郵便局前","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","LTC-AR71","株式会社京三製作所","T51771","2020年9月","市道","福山市松永町4丁目12番19号先"
"70194","34.469163,133.383445","福山東","川口小学校正門前","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000033","2022年1月","市道","福山市川口町2丁目2番1号先"
"70196","34.463222,133.288425","福山西","神村町一区","地域/直接","ＵＣ形交通信号制御機(U)","第２３２号","","小糸工業株式会社","4M0540","2004年12月","県道５４号（福山尾道）","福山市神村町5,213番地の1先"
"70197","34.573582,133.344981","福山北","中野","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000007","2012年9月","Ｒ１８２","福山市加茂町中野441番地先"
"70198","34.542167,133.312425","福山北","近田中央","プロ多/親","ＵＣ形交通信号制御機","第２３２号","VT-3405P","パナソニック株式会社","0A0605","2010年1月","Ｒ４８６","福山市駅家町近田606番地1先"
"70199","34.534973,133.331527","福山北","山守","プロ多/親","ＵＣ形交通信号制御機","第２３２号","VT-3405P","パナソニック株式会社","0A0606","2010年1月","県道３９５号（川南近田）","福山市駅家町上山守431番地4先"
"70200","34.481797,133.371261","福山東","ばら公園北側","地域/直接","交通信号制御機(UD-TTR)","第1012号「版6」","S4：TSC-4052","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","240839","2024年12月","市道","福山市花園町1丁目1番33号先"
"70201","34.469692,133.367045","福山東","福山市体育館北東角先","地域/直接","ＵＣ形交通信号制御機(U)","第２３２号","","松下通信工業株式会社","2L1521","2002年11月","市道","福山市沖野上町6丁目19番20号先"
"70202","34.492349,133.429718","福山東","旭ヶ丘北口","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","LTC-AR31","株式会社京三製作所","TU2362","2013年11月","市道","福山市引野町南2丁目7番1号先"
"70203","34.493105,133.354547","福山東","蓮池橋南","地域/直接","ＵＣ形交通信号制御機(S9-TCU)","第２３２号","S0：TSC-1450","住友電気工業株式会社","HG90581","2004年12月","市道","福山市西町3丁目16番北東角先"
"70204","34.483855,133.351573","福山東","本庄南","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000128","2021年8月","市道","福山市南本庄3丁目5番南西角先"
"70205","34.48211,133.384185","福山東","手城西","地域/直接","交通信号制御機(S9-TCU)","第1012号「版5」","","コイト電工株式会社","3M3817","2023年12月","市道","福山市南手城町1丁目11番南西角先"
"70206","34.535443,133.327465","福山北","江良","プロ多/親","ＵＣ形交通信号制御機","第２３２号","VT-3405P","パナソニック株式会社","0A0607","2010年1月","県道３９５号（川南近田）","福山市駅家町江良92番地3先"
"70207","34.532217,133.330924","福山北","山守橋北詰","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000184","2023年9月","県道３９６号（柞磨駅家）","福山市駅家町上山守121番地1先"
"70208","34.491621,133.371823","福山東","東１０番ガード北","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","LTC-AR71","株式会社京三製作所","T38566","2018年11月","市道","福山市若松町4番28号先"
"70209","34.491358,133.371892","福山東","東１０番ガード南","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","LTC-AR71","株式会社京三製作所","T38557","2018年11月","市道","福山市寺町5番13号先"
"70210","34.490751,133.368198","福山東","東６番ガード北","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","LTC-AR71","株式会社京三製作所","T38583","2018年11月","市道","福山市東町2丁目1番南西角先"
"70211","34.4905,133.368268","福山東","東６番ガード南","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","LTC-AR71","株式会社京三製作所","T38597","2018年11月","市道","福山市今町3番6号先"
"70212","34.492111,133.374937","福山東","三吉ガード（北）","地域/直接","交通信号制御機(UD-RTR)","第1012号","LTC-AR71","株式会社京三製作所","T64208","2021年8月","Ｒ３１３","福山市三吉町3丁目1番1号先"
